Date,Aayu Malun Khola Hydro-Electric Project,Apsuwa I HEP,Chujung Khola HEP,Dudhkoshi 10 HEP,Dudhkoshi-6 HEP,Ghunsa Khola HPP,Ghunsa-Tamor HPP,Hongu Khola HPP,Ikhuwa Khola HEP,Isuwa Khola Hydropower Project,Kabeli B - 1,Kabeli-3 HEP,Kabeli-A,Kasuwa Khola HPP,Lower Hewa,Lower Isuwa Khola HPP,Lower Solu Hydropower Project,Luja Khola HPP,Mewa khola HPP,Mewa Khola Hydropower project,Middle Hongu Khola B HPP,Middle Hongukhola A Hydropower Project,Middle Mewa HPP,Middle Tamor,Palun khola small Hydropower Project,Simbuwa Khola Hydroelectric Project,Solu Hydropower Project,Solu Khola (Dudha Koshi),Super Inkhu Khola,Tamor Khola-5 HEP,Upper Apsuwa HEP,Upper Barunkhola HEP,Upper Inkhu Khola HEP,Upper Isuwa,Upper Kabeli HPP,Upper Mewa Khola -A HPP,Upper Sankhuwa Khola HEP,Upper Simbuwa Khola HPP,Upper Tamor A HPP,Upper Tamor HEP
1/1/2014 5:45,0.988639355,1.406250238,1.48509109,11.65223026,14.11297512,6.698533058,6.698533058,2.110394001,0.926798403,1.375426054,3.18729949,0.261995703,32.08316803,0.466099173,3.14150095,1.375426054,2.585229874,0.662744164,16.76143837,16.76143837,1.883362055,0.664040744,0.108472385,15.86641788,0.993358016,2.280053616,2.585229874,2.9170506,0.986979067,0.278258979,1.406250238,1.214508295,0.132601559,1.375426054,0.374000728,0.108472385,0.347323418,1.442423463,15.86641788,17.78652573
1/2/2014 5:45,0.975645125,1.382575512,1.462125659,11.46764278,13.90604115,6.603220463,6.603220463,2.07609725,0.911332786,1.353613973,3.139519215,0.257881343,31.62943077,0.457683921,3.095390081,1.353613973,2.548592091,0.651236892,16.52416039,16.52416039,1.852616906,0.653060317,0.106838249,15.64039707,0.976946831,2.248444796,2.548592091,2.876843929,0.970680118,0.274508685,1.382575512,1.194881439,0.130224377,1.353613973,0.368139952,0.106838249,0.341161162,1.421613693,15.64039707,17.53771973
1/3/2014 5:45,0.963355958,1.363959432,1.447637439,11.30322838,13.68673038,6.516921997,6.516921997,2.048277855,0.900245667,1.335680246,3.100866795,0.255035877,31.18016815,0.452204168,3.056105137,1.335680246,2.513362885,0.642423511,16.30272865,16.30272865,1.828177929,0.644976437,0.1056429,15.43734932,0.964847863,2.220304012,2.513362885,2.837592125,0.958126307,0.27154994,1.363959432,1.182261348,0.128658608,1.335680246,0.364052862,0.1056429,0.336963803,1.405889273,15.43734932,17.29340363
1/4/2014 5:45,0.951516092,1.350448728,1.436163306,11.14544868,13.50978088,6.485940933,6.485940933,2.020222425,0.899418175,1.320591092,3.12144351,0.257160962,31.00771332,0.447919756,3.088842154,1.320591092,2.480229139,0.632991374,16.21575546,16.21575546,1.802782774,0.63547045,0.107049428,15.36657619,0.963723361,2.224675179,2.480229139,2.800791264,0.944683909,0.268096387,1.350448728,1.164554596,0.126898438,1.320591092,0.366989791,0.107049428,0.3332555,1.416324139,15.36657619,17.17599297
1/5/2014 5:45,0.939927518,1.336434245,1.426730156,10.97109222,13.29968071,6.488203526,6.488203526,1.988970876,0.901392102,1.304524541,3.194772005,0.26169309,31.25849342,0.443173707,3.212091208,1.304524541,2.447843075,0.623163223,16.24686241,16.24686241,1.774938345,0.625777841,0.111099325,15.39554214,0.966296792,2.263709307,2.447843075,2.764826536,0.930073917,0.26409176,1.336434245,1.147073865,0.124839075,1.304524541,0.373417944,0.111099325,0.329065531,1.448702931,15.39554214,17.20569992
1/6/2014 5:45,0.928594649,1.321249962,1.414992809,10.81310844,13.10146713,6.456356525,6.456356525,1.960621238,0.897544146,1.288659692,3.211011887,0.260855556,31.47093964,0.438091278,3.270261288,1.288659692,2.416455746,0.614295483,16.21988106,16.21988106,1.749887943,0.617299616,0.111438379,15.34557152,0.962602496,2.279273033,2.416455746,2.729825735,0.91700983,0.260347575,1.321249962,1.132031083,0.123056643,1.288659692,0.37233147,0.111438379,0.324939191,1.448818564,15.34557152,17.21630096
1/7/2014 5:45,0.917527676,1.296378613,1.379987121,10.6766367,12.93112278,6.287498474,6.287498474,1.936537504,0.861182809,1.267712712,3.03919363,0.246219501,30.74045753,0.428894162,3.054544926,1.267712712,2.386116982,0.607034385,15.83728123,15.83728123,1.728370905,0.609631658,0.101914257,14.94758701,0.924890757,2.194226027,2.386116982,2.695938349,0.905805588,0.257095307,1.296378613,1.117891431,0.121677063,1.267712712,0.351706147,0.101914257,0.319317758,1.377426267,14.94758701,16.87419128
1/8/2014 5:45,0.906670153,1.277203679,1.360241175,10.55461502,12.78116703,6.131381989,6.131381989,1.91437757,0.844303071,1.250533938,2.921773434,0.240103543,29.47810936,0.423401296,2.87520957,1.250533938,2.356524229,0.600568891,15.37282562,15.37282562,1.70848763,0.602480948,0.098243676,14.54490757,0.905228198,2.10655117,2.356524229,2.662898064,0.895464242,0.254802763,1.277203679,1.106304526,0.120387979,1.250533938,0.342789471,0.098243676,0.315422505,1.330165386,14.54490757,16.3276329
1/9/2014 5:45,0.895955443,1.262116432,1.347179174,10.43299484,12.63584328,6.055112362,6.055112362,1.891317487,0.834272385,1.236163974,2.871031046,0.237298876,28.88904381,0.418394506,2.797384739,1.236163974,2.327464342,0.593959093,15.15669918,15.15669918,1.687781096,0.595015049,0.096035019,14.3533659,0.89427036,2.069509506,2.327464342,2.630421162,0.884597063,0.252440155,1.262116432,1.094280362,0.118941799,1.236163974,0.338735044,0.096035019,0.311683506,1.311346889,14.3533659,16.0703373
1/10/2014 5:45,0.906989336,1.246999264,1.332128644,10.34451389,12.51505756,5.992724419,5.992724419,1.873651028,0.824423969,1.22194767,2.837072611,0.234661922,28.53770065,0.413344651,2.754037857,1.22194767,2.322551489,0.592410982,14.99982738,14.99982738,1.672063231,0.589526057,0.094635457,14.20315361,0.883759141,2.046993494,2.322551489,2.629391909,0.876586199,0.249207437,1.246999264,1.082779884,0.118078403,1.22194767,0.334971935,0.094635457,0.308434129,1.297065854,14.20315361,15.90269566
1/11/2014 5:45,1.493756771,1.636588097,1.592622399,10.57666874,13.18772697,6.633728504,6.633728504,2.185099363,1.091817617,1.461832404,3.915029526,0.315646082,33.26176834,0.580623567,4.389328003,1.461832404,2.940957546,0.693428636,16.40519905,16.40519905,1.910815716,0.607436657,0.172158077,15.7755518,1.155155659,2.452944994,2.940957546,3.481561422,1.014550209,0.267347008,1.636588097,1.134763837,0.173388109,1.461832404,0.448907942,0.172158077,0.433844268,1.640403748,15.7755518,17.16993904
1/12/2014 5:45,1.30416131,1.758792996,1.616815925,11.17974949,13.95507336,6.942183018,6.942183018,2.3002882,1.061630011,1.567208171,3.658203125,0.291662097,36.79934692,0.579749942,3.945540667,1.567208171,3.483850718,0.762663782,17.83217239,17.83217239,2.002332926,0.636730909,0.096014656,16.76486778,1.139910579,2.59717083,3.483850718,3.857697487,1.069359541,0.273570508,1.758792996,1.172301292,0.177881882,1.567208171,0.416869104,0.096014656,0.444476038,1.611515999,16.76486778,19.05458641
1/13/2014 5:45,1.185587406,1.666044354,1.582234025,11.37537956,14.29775238,6.750245571,6.750245571,2.233525038,1.0365659,1.520047903,3.393558502,0.285940558,33.73060989,0.54615581,3.164297581,1.520047903,3.380629539,0.740588069,17.27540207,17.27540207,1.9510535,0.631861687,0.093286775,16.28798485,1.110127211,2.475086689,3.380629539,3.763656616,1.035896659,0.268356562,1.666044354,1.165313005,0.162721768,1.520047903,0.408180475,0.093286775,0.415397614,1.55501163,16.28798485,18.38789368
1/14/2014 5:45,1.09611845,1.609351158,1.529145956,10.9396925,13.82033062,6.598083973,6.598083973,2.124666214,1.022887349,1.465670705,3.279617786,0.277597398,32.70973587,0.532240808,2.96161437,1.465670705,3.0765028,0.699153066,16.89390945,16.89390945,1.856994033,0.600097179,0.09387479,15.89109802,1.09469223,2.408051968,3.0765028,3.438581467,0.982206225,0.255463183,1.609351158,1.108781219,0.153285056,1.465670705,0.39636299,0.09387479,0.398952782,1.506810308,15.89109802,18.01408958
1/15/2014 5:45,1.007210374,1.456145048,1.452766657,10.31799603,12.93923855,6.35385704,6.35385704,1.952685833,0.943245053,1.35497427,3.156660557,0.265750408,31.52606964,0.47044903,2.852927446,1.35497427,2.749747038,0.633373439,16.23011971,16.23011971,1.7163831,0.571391463,0.092666045,15.28138542,1.014458656,2.324062347,2.749747038,3.109109879,0.905740559,0.250068396,1.456145048,1.069121361,0.133207768,1.35497427,0.379516721,0.092666045,0.352075696,1.460821748,15.28138542,17.31553268
